athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_43394a588ca1,Landon,Chaney,1,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,
lax_05fc4c675eeb,Hayden,Domers,2,0,0,0,0,0,0,0,1,0,0,,0,0,,,,,
lax_2965262ce023,Steven,Evans,2,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,
lax_6a456e4d9a41,Wyatt,Fortune,2,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_7388d4ecf95e,James,Gorman,1,0,0,0,0,0,0,0,0,2,0,,0,0,,,,,
lax_68dcf60b3abb,Carter,Grear,5,0,0,0,0,1,1,0,7,0,1,,0,0,,,,,
lax_7d55d85536e7,Darien,Green,12,0,0,0,0,0,0,0,3,1,1,,0,0,,,,,
lax_ba4c2c59394d,Piercen,Haehnel,6,0,0,0,0,1,0,0,0,1,0,,1,1,,,,,
lax_4b0a24050f20,Ali,Hashm,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_a83e1bd6d820,Max,Islas,11,1,0,0,0,0,0,0,10,2,0,,26,46,,,,,
lax_03fd5f8e40b4,Dominic,Jennings,18,17,0,0,0,3,2,0,24,2,20,,0,0,,,,,
